|142.250.80.110|,443|129.21.81.151|,43020|68|14.160 KiB|,0|0|0.00%|37|7.927 KiB|31|6.233 KiB|1.707912|163.8397|396 bytes|311 bytes|
|129.21.117.232|,57248|129.21.81.151|,7575|30|2.962 KiB|,1|0|0.00%|17|1.696 KiB|13|1.266 KiB|4.781160|13.0494|1.039 KiB|794 bytes|
|129.21.117.232|,57258|129.21.81.151|,7575|7051|86.650 MiB|,2|0|0.00%|3586|86.432 MiB|3465|222.717 KiB|6.214763|11.6055|59.580 MiB|153.524 KiB|
|129.21.117.232|,57266|129.21.81.151|,7575|127859|178.405 MiB|,3|0|0.00%|4472|288.642 KiB|123387|178.123 MiB|6.726715|11.0985|208.058 KiB|128.394 MiB|
|152.89.198.90|,52554|129.21.81.151|,6081|3|166 bytes|,4|0|0.00%|2|112 bytes|1|54 bytes|6.931802|0.3023|2.895 KiB|1.396 KiB|
|129.21.117.232|,53094|129.21.81.151|,7575|30|2.963 KiB|,5|0|0.00%|17|1.698 KiB|13|1.265 KiB|19.007938|11.5424|1.177 KiB|897 bytes|
|129.21.117.232|,53096|129.21.81.151|,7575|7728|95.111 MiB|,6|0|0.00%|3962|94.874 MiB|3766|242.012 KiB|20.240838|10.2064|74.365 MiB|189.694 KiB|
|129.21.117.232|,53110|129.21.81.151|,7575|152943|213.377 MiB|,7|0|0.00%|5359|345.460 KiB|147584|213.039 MiB|20.250711|10.2018|270.900 KiB|167.060 MiB|
|129.21.81.151|,41392|34.117.237.239|,443|12|1,011 bytes|,8|0|0.00%|7|603 bytes|5|408 bytes|24.442805|111.1501|43 bytes|29 bytes|
|129.21.117.232|,42100|129.21.81.151|,7575|30|2.962 KiB|,9|0|0.00%|17|1.698 KiB|13|1.264 KiB|31.914883|12.6521|1.073 KiB|818 bytes|
|129.21.117.232|,42116|129.21.81.151|,7575|11131|122.119 MiB|,10|0|0.00%|5677|121.776 MiB|5454|350.938 KiB|33.449041|11.1040|87.735 MiB|252.836 KiB|
|129.21.117.232|,46404|129.21.81.151|,7575|68490|94.936 MiB|,11|0|0.00%|2853|183.929 KiB|65637|94.756 MiB|33.655645|10.9049|134.933 KiB|69.515 MiB|
|129.21.117.232|,37524|129.21.81.151|,7575|30|3.026 KiB|,12|0|0.00%|17|1.729 KiB|13|1.297 KiB|51.781218|12.6877|1.090 KiB|837 bytes|
|5.8.18.58|,54772|129.21.81.151|,11965|3|166 bytes|,13|0|0.00%|2|112 bytes|1|54 bytes|61.480017|0.2108|4.149 KiB|2.001 KiB|
|129.21.117.232|,34980|129.21.81.151|,7575|30|3.026 KiB|,14|0|0.00%|17|1.730 KiB|13|1.296 KiB|66.217208|11.6642|1.187 KiB|910 bytes|
|45.93.16.71|,54132|129.21.81.151|,3306|3|166 bytes|,15|0|0.00%|2|112 bytes|1|54 bytes|68.044582|0.0156|56.166 KiB|27.080 KiB|
|183.111.204.170|,55314|129.21.81.151|,8088|3|166 bytes|,16|0|0.00%|2|112 bytes|1|54 bytes|77.824972|0.4762|1.837 KiB|907 bytes|
|129.21.117.232|,56326|129.21.81.151|,7575|29|2.961 KiB|,17|0|0.00%|16|1.665 KiB|13|1.296 KiB|82.294602|11.1805|1.190 KiB|949 bytes|
|79.124.62.82|,54962|129.21.81.151|,44227|3|166 bytes|,18|0|0.00%|2|112 bytes|1|54 bytes|82.806510|0.5116|1.710 KiB|844 bytes|
|5.188.206.38|,54175|129.21.81.151|,19152|3|166 bytes|,19|0|0.00%|2|112 bytes|1|54 bytes|89.116556|0.1225|7.142 KiB|3.443 KiB|
|91.191.209.10|,59425|129.21.81.151|,3269|3|166 bytes|,20|0|0.00%|2|112 bytes|1|54 bytes|101.957129|0.2044|4.280 KiB|2.063 KiB|
|129.21.81.151|,55350|108.138.113.169|,443|24|3.508 KiB|,21|0|0.00%|11|1.830 KiB|13|1.678 KiB|104.545605|58.5855|255 bytes|234 bytes|
|119.192.56.178|,52200|129.21.81.151|,23|2|128 bytes|,22|0|0.00%|1|74 bytes|1|54 bytes|136.776229|0.0000||
|129.21.81.151|,55832|95.216.195.133|,80|12|1.086 KiB|,23|0|0.00%|6|504 bytes|6|608 bytes|138.740123|1.2074|3.261 KiB|3.934 KiB|
|129.21.81.151|,45704|35.186.227.140|,443|42|10.355 KiB|,24|0|0.00%|17|4.115 KiB|25|6.240 KiB|140.115033|0.3519|93.544 KiB|141.849 KiB|
|129.21.81.151|,49910|52.35.136.194|,443|18|7.315 KiB|,25|0|0.00%|10|2.598 KiB|8|4.718 KiB|140.115151|30.7014|693 bytes|1.229 KiB|
|54.191.210.155|,443|129.21.81.151|,53168|3|264 bytes|,26|0|0.00%|2|163 bytes|1|101 bytes|140.283710|0.0695|18.320 KiB|11.352 KiB|
|2620:8d:8000:1050:6cf6:9bf6:6bff:1d45|,44832|2a01:4f9:c010:2636::1|,80|10|1.141 KiB|,27|0|0.00%|5|526 bytes|5|642 bytes|142.740855|1.1983|3.429 KiB|4.186 KiB|
|91.191.209.74|,54213|129.21.81.151|,54712|3|166 bytes|,28|0|0.00%|2|112 bytes|1|54 bytes|148.651837|0.5938|1.473 KiB|727 bytes|
|62.233.50.239|,52635|129.21.81.151|,5654|3|166 bytes|,29|0|0.00%|2|112 bytes|1|54 bytes|165.036716|0.5108|1.713 KiB|845 bytes|


